DateTime,Event
19/02/2018 12:40:55,"Migration from STEP 7 K5.5.4.0, WinCC V7.4 to V14 SP1"
19/02/2018 15:00:47,Created by user in version CPU 319F-3 PN/DP PLC migration
23/02/2018 14:29:31,Mass data import
23/02/2018 14:30:25,Mass data import
23/02/2018 14:31:41,Mass data import
23/02/2018 14:33:44,Mass data import
23/02/2018 15:34:40,Mass data import
1/03/2018 13:12:21,Mass data import
2/03/2018 12:11:27,The project was updated from project library.
2/03/2018 12:17:01,The project was updated from project library.
2/03/2018 12:36:59,Mass data import
2/03/2018 13:04:02,Mass data import
2/03/2018 13:25:29,Mass data import
2/03/2018 13:26:20,Mass data import
14/03/2018 13:55:30,Mass data import
14/03/2018 13:57:29,Mass data import
14/03/2018 13:57:57,Mass data import
20/03/2018 13:18:22,The project was updated from project library.
29/03/2018 14:57:49,Mass data import
29/03/2018 14:58:16,Mass data import
26/04/2018 8:13:14,Mass data import
26/04/2018 8:35:21,Mass data import
26/04/2018 8:36:28,Mass data import
17/05/2018 6:50:21,Mass data import
17/05/2018 6:50:46,Mass data import
18/05/2018 11:30:18,Mass data import
18/05/2018 11:30:47,Mass data import
24/05/2018 19:23:02,Mass data import
24/05/2018 19:23:26,Mass data import
5/06/2018 12:09:25,Mass data import
5/06/2018 12:12:44,Mass data import
5/06/2018 12:14:16,Mass data import
5/06/2018 12:17:24,Mass data import
5/06/2018 12:19:10,Mass data import
5/06/2018 12:26:38,Mass data import
5/06/2018 12:27:14,Mass data import
5/06/2018 15:01:19,Mass data import
5/06/2018 15:02:22,Mass data import
6/06/2018 9:02:18,Mass data import
6/06/2018 9:02:56,Mass data import
31/07/2018 10:27:23,The project was updated from project library.
31/07/2018 10:33:52,The project was updated from project library.
16/05/2019 11:53:06,Upgraded from version V14 SP1 to V15.1
23/01/2021 12:40:20,The project was updated from project library.
27/03/2021 19:08:25,The project was updated from project library.
27/03/2021 20:12:15,The project was updated from project library.
28/03/2021 11:18:37,The project was updated from project library.
1/04/2021 10:30:35,The project was updated from project library.
16/05/2021 7:52:12,The project was updated from project library.
30/06/2021 9:18:57,The project library was updated from global library.
27/09/2021 9:45:27,The project was updated from the global library.
9/12/2021 12:18:39,The project was updated from the global library.
16/12/2021 13:34:02,The project was updated from project library.
17/12/2021 14:07:58,The project was updated from project library.
17/12/2021 15:00:51,The project was updated from project library.
21/12/2021 12:13:08,The project was updated from project library.
21/12/2021 12:18:11,The project was updated from project library.
21/12/2021 13:23:01,The project was updated from project library.
21/12/2021 13:34:29,The project was updated from project library.
23/12/2021 9:44:58,The project was updated from project library.
23/12/2021 9:45:46,The project was updated from project library.
23/12/2021 10:03:04,The project was updated from project library.
24/12/2021 14:50:15,The project was updated from the global library.
24/12/2021 14:52:10,The project library was updated from global library.
24/12/2021 14:55:43,The project was updated from project library.
14/01/2022 15:33:47,The project library was updated from global library.
17/02/2022 14:33:16,The project library was updated from global library.
17/02/2022 14:38:39,The project was updated from project library.
14/03/2022 11:47:49,The project library was updated from global library.
14/03/2022 11:52:47,The project was updated from project library.
14/03/2022 12:02:58,The project was updated from project library.
28/03/2022 9:58:03,The project library was updated from global library.
28/03/2022 10:02:03,The project was updated from project library.
28/03/2022 12:37:31,The project was updated from project library.
26/04/2022 3:46:54,The project library was updated from global library.
26/04/2022 4:17:27,The project library was updated from global library.
26/04/2022 4:20:41,The project was updated from project library.
24/08/2022 11:47:20,The project library was updated from global library.
24/08/2022 11:52:19,The project was updated from project library.
24/08/2022 11:57:02,The project was updated from project library.
24/08/2022 12:08:01,The project library was updated from global library.
24/08/2022 12:08:32,The project was updated from project library.
24/08/2022 14:18:43,The project was updated from project library.
31/08/2022 9:42:37,The project was updated from project library.
6/09/2022 8:01:27,The project was updated from project library.
7/09/2022 9:47:17,The project was updated from project library.
5/10/2022 5:51:31,The project library was updated from global library.
5/10/2022 5:56:27,The project was updated from project library.
5/10/2022 6:08:16,The project was updated from project library.
5/10/2022 6:09:49,The project library was updated from global library.
5/10/2022 6:10:21,The project was updated from project library.
5/10/2022 6:43:50,The project library was updated from global library.
5/10/2022 8:36:55,The project was updated from project library.
28/11/2022 15:40:51,The project was updated from project library.
30/11/2022 9:53:00,The project was updated from project library.
2/12/2022 12:47:54,The project was updated from project library.
5/12/2022 10:15:45,The project was updated from project library.
16/12/2022 14:16:28,The project was updated from project library.
16/12/2022 14:16:37,The project was updated from project library.
16/01/2023 15:01:53,Mass data import
16/01/2023 15:03:40,Mass data import
16/01/2023 15:05:44,Mass data import
25/01/2023 10:22:22,The project was updated from project library.
27/01/2023 13:59:40,Mass data import
27/01/2023 14:01:16,Mass data import
27/01/2023 14:03:07,Mass data import
28/02/2023 10:15:39,Mass data import
28/02/2023 10:16:06,Mass data import
28/02/2023 10:17:13,Mass data import
28/02/2023 10:18:07,Mass data import
28/02/2023 10:19:33,Mass data import
28/02/2023 10:23:06,Mass data import
28/02/2023 10:23:37,Mass data import
28/02/2023 10:26:44,Mass data import
28/02/2023 10:27:09,Mass data import
28/02/2023 10:29:01,Mass data import
28/02/2023 10:29:29,Mass data import
2/03/2023 13:30:11,Mass data import
2/03/2023 13:30:34,Mass data import
2/03/2023 13:32:22,Mass data import
2/03/2023 13:32:52,Mass data import
2/03/2023 13:34:54,Mass data import
2/03/2023 13:35:21,Mass data import
2/03/2023 13:43:29,Mass data import
2/03/2023 13:43:54,Mass data import
2/03/2023 13:46:02,Mass data import
2/03/2023 13:46:29,Mass data import
14/03/2023 10:54:03,Mass data import
21/03/2023 8:49:24,Mass data import
17/04/2023 9:36:04,Mass data import
21/04/2023 8:13:35,The project was updated from project library.
21/04/2023 12:35:08,The project was updated from project library.
21/04/2023 13:11:33,The project was updated from project library.
24/04/2023 9:34:19,The project was updated from project library.
26/04/2023 7:34:10,The project was updated from project library.
26/04/2023 8:47:46,Mass data import
26/04/2023 8:49:30,Mass data import
26/04/2023 8:50:32,Mass data import
26/04/2023 8:51:21,Mass data import
2/05/2023 11:01:10,Mass data import
2/05/2023 11:02:40,Mass data import
2/05/2023 11:03:40,Mass data import
7/06/2023 11:36:30,Mass data import
7/06/2023 14:00:56,Mass data import
7/06/2023 14:01:50,Mass data import
7/06/2023 14:02:42,Mass data import
27/06/2023 13:09:22,The project was updated from project library.
