Project,Folder,Name,Version,ModifiedDate,Author,LibraryState,Dependents,instanceCount,TypeComment,VersionComment,ReferenceObject
P712713A01,VB scripts,LFuncAddSpacesAfterString,15.504.0,02-03-2023 14:12:12,VCC,Committed,0,0,,02/03/2023,Siemens.Engineering.Hmi.RuntimeScripting.VBScriptLibraryTypeVersion
P712713A01,VB scripts,LFuncAddSpacesBeforeString,15.504.0,02-03-2023 14:12:12,VCC,Committed,0,0,,02/03/2023,Siemens.Engineering.Hmi.RuntimeScripting.VBScriptLibraryTypeVersion
P712713A01,VB scripts,LFuncAnimInVisible,15.504.0,02-03-2023 14:12:12,VCC,Committed,0,0,,02/03/2023,Siemens.Engineering.Hmi.RuntimeScripting.VBScriptLibraryTypeVersion
P712713A01,VB scripts,LFuncAnimOutOfUse,15.504.0,02-03-2023 14:12:12,VCC,Committed,0,0,,02/03/2023,Siemens.Engineering.Hmi.RuntimeScripting.VBScriptLibraryTypeVersion
P712713A01,VB scripts,LFuncCheckTagExistsFromDB,15.504.0,02-03-2023 14:12:12,VCC,Committed,0,0,,02/03/2023,Siemens.Engineering.Hmi.RuntimeScripting.VBScriptLibraryTypeVersion
P712713A01,VB scripts,LFuncDelFirstUnderscore,15.504.0,02-03-2023 14:12:12,VCC,Committed,0,0,,02/03/2023,Siemens.Engineering.Hmi.RuntimeScripting.VBScriptLibraryTypeVersion
P712713A01,VB scripts,LFuncGet32BitStatus,15.504.0,02-03-2023 14:12:12,VCC,Committed,0,0,,02/03/2023,Siemens.Engineering.Hmi.RuntimeScripting.VBScriptLibraryTypeVersion
P712713A01,VB scripts,LFuncGetBitStatus,15.504.0,02-03-2023 14:12:12,VCC,Committed,0,0,,02/03/2023,Siemens.Engineering.Hmi.RuntimeScripting.VBScriptLibraryTypeVersion
P712713A01,VB scripts,LFuncGetComplexIconIdName,15.504.0,02-03-2023 14:12:12,VCC,Committed,0,0,,02/03/2023,Siemens.Engineering.Hmi.RuntimeScripting.VBScriptLibraryTypeVersion
P712713A01,VB scripts,LFuncGetCurrentModeZone,15.504.0,02-03-2023 14:12:12,VCC,Committed,0,0,,02/03/2023,Siemens.Engineering.Hmi.RuntimeScripting.VBScriptLibraryTypeVersion
P712713A01,VB scripts,LFuncGetCurrentPCHMINumber,15.504.0,02-03-2023 14:12:12,VCC,Committed,0,0,,02/03/2023,Siemens.Engineering.Hmi.RuntimeScripting.VBScriptLibraryTypeVersion
P712713A01,VB scripts,LFuncGetDB1Name,15.504.0,02-03-2023 14:12:12,VCC,Committed,0,0,,02/03/2023,Siemens.Engineering.Hmi.RuntimeScripting.VBScriptLibraryTypeVersion
P712713A01,VB scripts,LFuncGetDBNameFromDBAddress,15.504.0,02-03-2023 14:12:12,VCC,Committed,0,0,,02/03/2023,Siemens.Engineering.Hmi.RuntimeScripting.VBScriptLibraryTypeVersion
