Project,PLC,Folder,Name,Type,Number,InstanceOfName,InstanceOfNumber,IsConsistent,ModifiedDate,ConnectedToLibrary,NameInLibrary,VersionInLibrary,ModifiedDateInLibrary,LibraryState,LibraryConformanceStatus,warning
P712713A01,P209000AE01-JC5,Program blocks,Changes,FC,1.0,NaN,NaN,True,04-08-2023 14:30:25,False,NaN,NaN,NaN,NaN,NaN,NaN
P712713A01,P209000AE01-JC5,PLC OB:s,CYC_Proc,OB,34.0,NaN,NaN,True,16-11-2021 16:38:56,False,NaN,NaN,NaN,NaN,NaN,NaN
P712713A01,P209000AE01-JC5,PLC OB:s,COMPLETE RESTART,OB,100.0,NaN,NaN,True,02-04-2021 14:10:22,False,NaN,NaN,NaN,NaN,NaN,NaN
P712713A01,P209000AE01-JC5,PLC OB:s,CYCL_FLT,OB,80.0,NaN,NaN,True,02-04-2021 14:10:22,False,NaN,NaN,NaN,NaN,NaN,NaN
P712713A01,P209000AE01-JC5,PLC OB:s,HW_INT0,OB,40.0,NaN,NaN,True,02-04-2021 14:10:22,False,NaN,NaN,NaN,NaN,NaN,NaN
P712713A01,P209000AE01-JC5,PLC OB:s,I/O_FLT1,OB,82.0,NaN,NaN,True,02-04-2021 14:10:22,False,NaN,NaN,NaN,NaN,NaN,NaN
P712713A01,P209000AE01-JC5,PLC OB:s,I/O_FLT2,OB,83.0,NaN,NaN,True,02-04-2021 14:10:22,False,NaN,NaN,NaN,NaN,NaN,NaN
P712713A01,P209000AE01-JC5,PLC OB:s,MOD_ERR,OB,122.0,NaN,NaN,True,02-04-2021 14:10:22,False,NaN,NaN,NaN,NaN,NaN,NaN
P712713A01,P209000AE01-JC5,PLC OB:s,PROG_ERR,OB,121.0,NaN,NaN,True,02-04-2021 14:10:22,False,NaN,NaN,NaN,NaN,NaN,NaN
P712713A01,P209000AE01-JC5,PLC OB:s,RACK_FLT,OB,86.0,NaN,NaN,True,02-04-2021 14:10:22,False,NaN,NaN,NaN,NaN,NaN,NaN
P712713A01,P209000AE01-JC5,PLC OB:s,CYC_INT2,OB,32.0,NaN,NaN,True,02-04-2021 14:10:22,False,NaN,NaN,NaN,NaN,NaN,NaN
P712713A01,P209000AE01-JC5,PLC OB:s,FOB_RTG,OB,123.0,NaN,NaN,True,01-08-2023 15:13:31,False,NaN,NaN,NaN,NaN,NaN,NaN
P712713A01,P209000AE01-JC5,PLC OB:s,CYC_INT5,OB,35.0,NaN,NaN,True,02-04-2021 14:10:22,False,NaN,NaN,NaN,NaN,NaN,NaN
P712713A01,P209000AE01-JC5,PLC OB:s,209000NCP01,OB,1.0,NaN,NaN,True,05-08-2023 11:09:51,False,NaN,NaN,NaN,NaN,NaN,NaN
