Node,Attributes,Type,Source,Target
209220AX01-JW51,{'deviceType': 'System:Device.ET200SP'},Node,,
209220AS10-JW50,{'deviceType': 'System:Device.ET200SP'},Node,,
209220CHB21M14-UE144,{'deviceType': 'GSD:GSDML-V2.25-SEW-MTX-20190115-091515.XML/D'},Node,,
209230CA21M4-UE150,{'deviceType': 'GSD:GSDML-V2.25-SEW-MTX-20190115-091515.XML/D'},Node,,
209230CR22M1-UE153,{'deviceType': 'GSD:GSDML-V2.25-SEW-MTX-20190115-091515.XML/D'},Node,,
209230CHB22M14-UE152,{'deviceType': 'GSD:GSDML-V2.25-SEW-MTX-20190115-091515.XML/D'},Node,,
209000AE02-JW208,{'deviceType': 'System:Device.LINKS/PnPnCoupler'},Node,,
209000AE02-JW210,{'deviceType': 'GSD:GSDML-V2.34-SIEMENS-002A-SCALANCE_XC200-20200124.XML/D'},Node,,
209210CHB21M14-UE134,{'deviceType': 'GSD:GSDML-V2.25-SEW-MTX-20190115-091515.XML/D'},Node,,
209210AX01-JW41,{'deviceType': 'System:Device.ET200SP'},Node,,
209210CWP20-JX46,{'deviceType': 'System:Device.ET200eco'},Node,,
209210Field-JW221,{'deviceType': 'System:Device.Scalance/XP200'},Node,,
209210AS10-JW40,{'deviceType': 'System:Device.ET200SP'},Node,,
209210AX02-JW43,{'deviceType': 'System:Device.ET200SP'},Node,,
209000AS02-JW39,{'deviceType': 'System:Device.ET200SP'},Node,,
209230Field-JW223,{'deviceType': 'System:Device.Scalance/XP200'},Node,,
209230AX01-JW61,{'deviceType': 'System:Device.ET200SP'},Node,,
209230CHB21M14-UE151,{'deviceType': 'GSD:GSDML-V2.25-SEW-MTX-20190115-091515.XML/D'},Node,,
209000AK02-JC32,{'deviceType': 'GSD:GSDML-V2.34-ETA-CPC20PN-20190809.XML/D'},Node,,
209000AK01-JW35,{'deviceType': 'System:Device.ET200SP'},Node,,
209000AK03-JW36,{'deviceType': 'System:Device.ET200SP'},Node,,
209000AS01-JW38,{'deviceType': 'System:Device.ET200SP'},Node,,
209000AK04M4-UE142,{'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'},Node,,
209000AK04M4-UE141,{'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'},Node,,
209000AK04M1-UE143,{'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'},Node,,
209230AS10-JW60,{'deviceType': 'System:Device.ET200SP'},Node,,
209000AK03M4-UE132,{'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'},Node,,
209000AK03M4-UE131,{'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'},Node,,
209000AK03M1-UE133,{'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'},Node,,
209220AS11-JW52,{'deviceType': 'System:Device.ET200SP'},Node,,
209220CWP10-JX57,{'deviceType': 'GSD:GSDML-V2.42-SIEMENS-ET200ECO-20221118.XML/D'},Node,,
209220AX02-JW53,{'deviceType': 'System:Device.ET200SP'},Node,,
209220Field-JW222,{'deviceType': 'System:Device.Scalance/XP200'},Node,,
209220CWP10-JX54,{'deviceType': 'System:Device.ET200eco'},Node,,
209220CWP10-JX55,{'deviceType': 'GSD:GSDML-V2.42-SIEMENS-ET200ECO-20221118.XML/D'},Node,,
209220AS20-JW58,{'deviceType': 'System:Device.ET200SP'},Node,,
209220CWP20-JX56,{'deviceType': 'System:Device.ET200eco'},Node,,
211212AE1-JW200,{'deviceType': 'System:Device.ET200SP'},Node,,
209210CWP10-JX44,{'deviceType': 'System:Device.ET200eco'},Node,,
209210AS20-JW48,{'deviceType': 'System:Device.ET200SP'},Node,,
209210CWP10-JX45,{'deviceType': 'GSD:GSDML-V2.42-SIEMENS-ET200ECO-20221118.XML/D'},Node,,
209000AK04-JW37,{'deviceType': 'System:Device.ET200SP'},Node,,
209000AK04M1-UE140,{'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'},Node,,
209210AS11-JW42,{'deviceType': 'System:Device.ET200SP'},Node,,
209220Field-JW232,{'deviceType': 'System:Device.Scalance/XP200'},Node,,
