plc_name,subnetmask,gateway,device_name,node_names,node_addresses
P209000AE01-JC5,255.255.255.0,10.210.79.1,209220AX01-JW51,IE1,10.210.79.51
P209000AE01-JC5,255.255.255.0,10.210.79.1,209230CA21M4-UE150,IE1,10.210.79.150
P209000AE01-JC5,255.255.255.0,10.210.79.1,209000AE02-JW208.X1,IE1,10.210.79.208
P209000AE01-JC5,255.255.255.0,10.210.79.1,209210CHB21M14-UE134,IE1,10.210.79.134
P209000AE01-JC5,255.255.255.0,10.210.79.1,209210Field-JW221,IE1,10.210.79.221
P209000AE01-JC5,255.255.255.0,10.210.79.1,209000AS02-JW39,IE1,10.210.79.39
P209000AE01-JC5,255.255.255.0,10.210.79.1,209230Field-JW223,IE1,10.210.79.223
P209000AE01-JC5,255.255.255.0,10.210.79.1,209000AK02-JC32,IE1,10.210.79.32
P209000AE01-JC5,255.255.255.0,10.210.79.1,209000AS01-JW38,IE1,10.210.79.38
P209000AE01-JC5,255.255.255.0,10.210.79.1,209000AK04M4-UE142,IE1,10.210.79.142
P209000AE01-JC5,255.255.255.0,10.210.79.1,209230CHB21M14-UE151,IE1,10.210.79.151
P209000AE01-JC5,255.255.255.0,10.210.79.1,209230CHB22M14-UE152,IE1,10.210.79.152
P209000AE01-JC5,255.255.255.0,10.210.79.1,209210AS10-JW40,IE1,10.210.79.40
P209000AE01-JC5,255.255.255.0,10.210.79.1,ETHERNET,X2,192.168.1.1
P209000AE01-JC5,255.255.255.0,10.210.79.1,209230AX01-JW61,IE1,10.210.79.61
P209000AE01-JC5,255.255.255.0,10.210.79.1,209000AE02-JW71,PB1,71
P209000AE01-JC5,255.255.255.0,10.210.79.1,209000AK03M4-UE132,IE1,10.210.79.132
P209000AE01-JC5,255.255.255.0,10.210.79.1,209220AS11-JW52,IE1,10.210.79.52
P209000AE01-JC5,255.255.255.0,10.210.79.1,209220AS10-JW50,IE1,10.210.79.50
P209000AE01-JC5,255.255.255.0,10.210.79.1,209220CWP10-JX54,IE1,10.210.79.54
P209000AE01-JC5,255.255.255.0,10.210.79.1,209220CHB21M14-UE144,IE1,10.210.79.144
P209000AE01-JC5,255.255.255.0,10.210.79.1,209000AK03M1-UE133,IE1,10.210.79.133
P209000AE01-JC5,255.255.255.0,10.210.79.1,209220AS20-JW58,IE1,10.210.79.58
P209000AE01-JC5,255.255.255.0,10.210.79.1,211212AE1-JW200,IE1,10.210.79.200
