tag-table,tag
Default tag table,209210CS22DetArrived
Default tag table,209220CS22DetArrived
Default tag table,BlokkeringFotocel
Drives Inputs,I15101.1
Drives Inputs,I17000.4
Drives Inputs,I17000.6
Drives Inputs,I17000.5
Drives Inputs,209220CHB21M14SG2
Drives Inputs,I16101.7
Drives Inputs,209210CHB21M14SG9
Drives Inputs,I15101.5
Drives Inputs,I17076.7
Drives Inputs,209230CR22M1SG9
Drives Inputs,I17001.0
Drives Inputs,I16100.5
Drives Inputs,I17001.1
Drives Inputs,I16101.6
Drives Inputs,I16100.0
Drives Inputs,I17050.4
Drives Inputs,I16100.1
Drives Inputs,I17026.7
Drives Inputs,I17001.4
Drives Inputs,I16101.1
Drives Inputs,I17075.1
Drives Inputs,I17001.5
Drives Inputs,209230CA21M4SG10
Drives Inputs,I17076.1
Drives Inputs,209230CHB22M14SG1
Drives Inputs,209230CA21M4SG3
Drives Inputs,I17075.5
Drives Inputs,I17025.1
Drives Inputs,209230CHB21M14SG1
Drives Inputs,209230CA21M4SG5
Drives Inputs,209210CHB21M14SG2
Drives Inputs,I15100.3
Drives Inputs,I15101.6
Drives Inputs,I15100.0
Drives Inputs,I15100.7
Drives Inputs,I15100.1
Drives Inputs,209220CHB21M14SG9
Drives Inputs,I16101.5
Drives Inputs,I16100.2
Drives Inputs,I15101.3
Drives Inputs,I17000.0
Drives Inputs,I17000.1
Drives Inputs,I16100.6
Drives Inputs,209230CHB22M14SG9
Drives Inputs,I15101.7
Drives Inputs,209230CA21M4SG1
Drives Inputs,209230CHB21M14SG9
Drives Inputs,I17075.7
Drives Inputs,209230CA21M4SG9
Drives Inputs,I17050.0
Drives Inputs,I17076.6
Drives Inputs,209230CA21M4SG2
Drives Inputs,I17076.3
Drives Inputs,I15100.2
Drives Inputs,I15100.6
Drives Inputs,I17050.2
Drives Inputs,I17075.2
Drives Inputs,I17050.6
Drives Inputs,I17050.5
Drives Inputs,I17025.3
Drives Inputs,I17075.4
Drives Inputs,I17075.6
Drives Inputs,I17051.1
Drives Inputs,I17025.7
Drives Inputs,209230CR22M1SG1
Drives Inputs,209230CR22M1SG8V
Drives Inputs,I17051.5
Drives Inputs,I17026.3
Drives Inputs,I17001.2
Drives Inputs,I17000.3
Drives Inputs,I17076.5
Drives Inputs,I17001.6
Drives Inputs,I16100.3
Drives Inputs,I17000.7
Drives Inputs,I16100.4
Drives Inputs,I17050.3
Drives Inputs,I17026.5
Drives Inputs,209230CA21M4SG4
Drives Inputs,I16100.7
Drives Inputs,I17001.3
Drives Inputs,209220CHB21M14SG1
Drives Inputs,I17050.7
Drives Inputs,I17050.1
Drives Inputs,I17025.6
Drives Inputs,I16101.3
Drives Inputs,I17075.3
Drives Inputs,I17025.5
Drives Inputs,I17001.7
Drives Inputs,I17075.0
Drives Inputs,I17051.3
Drives Inputs,I17026.1
Drives Inputs,I17051.7
Drives Inputs,I15100.4
