plc,Table,Tag,LogAddr,Address,comment,DataType,IO
P209000AE01-JC5,Default tag table,209210CS22DetArrived,%M320.0,320.0,,Bool,Other
P209000AE01-JC5,Default tag table,209220CS22DetArrived,%M320.1,320.1,,Bool,Other
P209000AE01-JC5,Default tag table,BlokkeringFotocel,%M320.2,320.2,,Bool,Other
P209000AE01-JC5,Drives Inputs,I15101.1,%I15101.1,15101.1,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17000.4,%I17000.4,17000.4,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17000.6,%I17000.6,17000.6,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17000.5,%I17000.5,17000.5,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209220CHB21M14SG2,%I16101.2,16101.2,209220CHB21 OK to close Holdback,Bool,Input
P209000AE01-JC5,Drives Inputs,I16101.7,%I16101.7,16101.7,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209210CHB21M14SG9,%I15101.4,15101.4,"209210CHB21 Holdback open ""SET""",Bool,Input
P209000AE01-JC5,Drives Inputs,I15101.5,%I15101.5,15101.5,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17076.7,%I17076.7,17076.7,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209230CR22M1SG9,%I17076.4,17076.4,"209230CR22 Stop forward ""SET""",Bool,Input
P209000AE01-JC5,Drives Inputs,I17001.0,%I17001.0,17001.0,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I16100.5,%I16100.5,16100.5,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17001.1,%I17001.1,17001.1,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I16101.6,%I16101.6,16101.6,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I16100.0,%I16100.0,16100.0,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17050.4,%I17050.4,17050.4,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I16100.1,%I16100.1,16100.1,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17026.7,%I17026.7,17026.7,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17001.4,%I17001.4,17001.4,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I16101.1,%I16101.1,16101.1,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17075.1,%I17075.1,17075.1,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17001.5,%I17001.5,17001.5,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209230CA21M4SG10,%I17025.4,17025.4,209230CA21 Slip control,Bool,Input
P209000AE01-JC5,Drives Inputs,I17076.1,%I17076.1,17076.1,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209230CHB22M14SG1,%I17051.0,17051.0,"209230CHB22 Holdback closed ""RESET""",Bool,Input
P209000AE01-JC5,Drives Inputs,209230CA21M4SG3,%I17025.0,17025.0,209230CA21 OK to close Holdback 209230CHB21,Bool,Input
P209000AE01-JC5,Drives Inputs,I17075.5,%I17075.5,17075.5,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,I17025.1,%I17025.1,17025.1,Spare,Bool,Input
P209000AE01-JC5,Drives Inputs,209230CHB21M14SG1,%I17026.0,17026.0,"209230CHB21 Holdback closed ""RESET""",Bool,Input
P209000AE01-JC5,Drives Inputs,209230CA21M4SG5,%I17051.4,17051.4,209230CA21 Holdback Occupied 209230CHB22,Bool,Input
